Profile 1;Profile 1;Profile 2;Profile 2;
x;y;x;y;
[m];[m];[m];[m];
0;1.9235613e-07;0;1.8900564e-07;
1.1857378e-07;1.9151989e-07;1.1867393e-07;1.882462e-07;
2.3714755e-07;1.9181541e-07;2.3734786e-07;1.8932812e-07;
3.5572133e-07;1.9030796e-07;3.5602178e-07;1.8982107e-07;
4.7429511e-07;1.9117831e-07;4.7469571e-07;1.8916132e-07;
5.9286888e-07;1.883913e-07;5.9336964e-07;1.8912153e-07;
7.1144266e-07;1.8853757e-07;7.1204357e-07;1.8908874e-07;
8.3001644e-07;1.903273e-07;8.3071749e-07;1.8883737e-07;
9.4859022e-07;1.9084261e-07;9.4939142e-07;1.8699936e-07;
1.067164e-06;1.8991292e-07;1.0680653e-06;1.8682645e-07;
1.1857378e-06;1.9079448e-07;1.1867393e-06;1.9001245e-07;
1.3043115e-06;1.927365e-07;1.3054132e-06;2.1226322e-07;
1.4228853e-06;1.9449857e-07;1.4240871e-06;2.5385222e-07;
1.5414591e-06;1.9290044e-07;1.5427611e-06;3.020362e-07;
1.6600329e-06;1.9308075e-07;1.661435e-06;3.542641e-07;
1.7786067e-06;1.9289769e-07;1.7801089e-06;4.0702017e-07;
1.8971804e-06;1.9241862e-07;1.8987828e-06;4.5789426e-07;
2.0157542e-06;2.0211632e-07;2.0174568e-06;4.9876283e-07;
2.134328e-06;2.3748575e-07;2.1361307e-06;5.1898732e-07;
2.2529018e-06;2.8202791e-07;2.2548046e-06;5.0885318e-07;
2.3714755e-06;3.324401e-07;2.3734786e-06;4.7581021e-07;
2.4900493e-06;3.8391763e-07;2.4921525e-06;4.307231e-07;
2.6086231e-06;4.2923867e-07;2.6108264e-06;3.8178266e-07;
2.7271969e-06;4.8035303e-07;2.7295003e-06;3.3182559e-07;
2.8457706e-06;5.2411088e-07;2.8481743e-06;2.8409758e-07;
2.9643444e-06;5.3392846e-07;2.9668482e-06;2.3582247e-07;
3.0829182e-06;5.0440319e-07;3.0855221e-06;1.9915622e-07;
3.201492e-06;4.5892434e-07;3.204196e-06;1.8554665e-07;
3.3200658e-06;4.0932342e-07;3.32287e-06;1.8261601e-07;
3.4386395e-06;3.5902954e-07;3.4415439e-06;1.8260453e-07;
3.5572133e-06;3.0657426e-07;3.5602178e-06;1.7644353e-07;
3.6757871e-06;2.5510022e-07;3.6788918e-06;1.7513717e-07;
3.7943609e-06;2.0781605e-07;3.7975657e-06;1.8254666e-07;
3.9129346e-06;1.8868804e-07;3.9162396e-06;1.8527891e-07;
4.0315084e-06;1.8346776e-07;4.0349135e-06;1.8027359e-07;
4.1500822e-06;1.7665345e-07;4.1535875e-06;1.8692668e-07;
4.268656e-06;1.8184284e-07;4.2722614e-06;1.9864957e-07;
4.3872297e-06;1.8485103e-07;4.3909353e-06;2.0187613e-07;
4.5058035e-06;1.8616297e-07;4.5096093e-06;2.0152448e-07;
4.6243773e-06;1.8810367e-07;4.6282832e-06;1.9492942e-07;
4.7429511e-06;1.847923e-07;4.7469571e-06;1.8726147e-07;
4.8615249e-06;1.8427771e-07;4.865631e-06;1.9529544e-07;
4.9800986e-06;1.8144809e-07;4.984305e-06;1.9989433e-07;
5.0986724e-06;1.8395166e-07;5.1029789e-06;2.0192828e-07;
5.2172462e-06;1.8591442e-07;5.2216528e-06;2.0372741e-07;
5.33582e-06;1.8287528e-07;;;
5.4543937e-06;1.7385155e-07;;;
5.5729675e-06;1.8315347e-07;;;
5.6915413e-06;1.8648508e-07;;;
5.8101151e-06;1.8922797e-07;;;
5.9286888e-06;1.9635789e-07;;;
6.0472626e-06;1.9998052e-07;;;
6.1658364e-06;2.0306998e-07;;;
6.2844102e-06;2.0376227e-07;;;
6.402984e-06;2.0444859e-07;;;
6.5215577e-06;2.0518627e-07;;;
6.6401315e-06;2.0379653e-07;;;
6.7587053e-06;2.0238206e-07;;;
6.8772791e-06;1.9620831e-07;;;
6.9958528e-06;1.9859473e-07;;;
7.1144266e-06;2.0205312e-07;;;
